Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,10,asymmetric,symmetric,0.3915627933370441
100% Corpus,2,0.01,0.01,0.287004678661555
100% Corpus,2,0.01,0.31,0.26421735619129605
100% Corpus,2,0.01,0.61,0.27251898432916444
100% Corpus,2,0.01,0.9099999999999999,0.27251898432916444
100% Corpus,2,0.01,symmetric,0.2689760022024623
100% Corpus,2,0.31,0.01,0.2937652920831151
100% Corpus,2,0.31,0.31,0.30266260550713
100% Corpus,2,0.31,0.61,0.2902961253945485
100% Corpus,2,0.31,0.9099999999999999,0.2985125612941444
100% Corpus,2,0.31,symmetric,0.29386197716492
100% Corpus,2,0.61,0.01,0.29275253137351487
100% Corpus,2,0.61,0.31,0.2985466143408426
100% Corpus,2,0.61,0.61,0.2830815396081503
100% Corpus,2,0.61,0.9099999999999999,0.3091331547257164
100% Corpus,2,0.61,symmetric,0.2830815396081503
100% Corpus,2,0.9099999999999999,0.01,0.28110453700709837
100% Corpus,2,0.9099999999999999,0.31,0.2830815396081503
100% Corpus,2,0.9099999999999999,0.61,0.3105777735285066
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.29979733597173686
100% Corpus,2,0.9099999999999999,symmetric,0.28547713902476257
100% Corpus,2,symmetric,0.01,0.29188566715859193
100% Corpus,2,symmetric,0.31,0.29386197716492
100% Corpus,2,symmetric,0.61,0.2830815396081503
100% Corpus,2,symmetric,0.9099999999999999,0.2830815396081503
100% Corpus,2,symmetric,symmetric,0.2830815396081503
100% Corpus,2,asymmetric,0.01,0.3420483503919505
100% Corpus,2,asymmetric,0.31,0.3582876238966286
100% Corpus,2,asymmetric,0.61,0.4152374507241078
100% Corpus,2,asymmetric,0.9099999999999999,0.3969079634436581
100% Corpus,2,asymmetric,symmetric,0.4152374507241078
100% Corpus,3,0.01,0.01,0.4080795167211451
100% Corpus,3,0.01,0.31,0.41630477970257873
100% Corpus,3,0.01,0.61,0.39126332975659434
100% Corpus,3,0.01,0.9099999999999999,0.43140811773447135
100% Corpus,3,0.01,symmetric,0.4112580347356917
100% Corpus,3,0.31,0.01,0.40530242563607777
100% Corpus,3,0.31,0.31,0.32992346743775053
100% Corpus,3,0.31,0.61,0.4031254312608767
100% Corpus,3,0.31,0.9099999999999999,0.43679200485357866
100% Corpus,3,0.31,symmetric,0.32955343297276457
100% Corpus,3,0.61,0.01,0.4648425523130257
100% Corpus,3,0.61,0.31,0.4626369345885006
100% Corpus,3,0.61,0.61,0.4624454915190226
100% Corpus,3,0.61,0.9099999999999999,0.45878787592615056
100% Corpus,3,0.61,symmetric,0.4557351216988906
100% Corpus,3,0.9099999999999999,0.01,0.4704968474436165
100% Corpus,3,0.9099999999999999,0.31,0.454819147882281
100% Corpus,3,0.9099999999999999,0.61,0.454819147882281
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.4728197785673894
100% Corpus,3,0.9099999999999999,symmetric,0.4595412426853991
100% Corpus,3,symmetric,0.01,0.4023313418038715
100% Corpus,3,symmetric,0.31,0.36180183584908315
100% Corpus,3,symmetric,0.61,0.4086362521572023
100% Corpus,3,symmetric,0.9099999999999999,0.4241590497948627
100% Corpus,3,symmetric,symmetric,0.3538830809990688
100% Corpus,3,asymmetric,0.01,0.4323199708314549
100% Corpus,3,asymmetric,0.31,0.3680871778072408
100% Corpus,3,asymmetric,0.61,0.38481922780724886
100% Corpus,3,asymmetric,0.9099999999999999,0.4243483991242248
100% Corpus,3,asymmetric,symmetric,0.3959147180205094
100% Corpus,4,0.01,0.01,0.41021466527100725
100% Corpus,4,0.01,0.31,0.40692345885980763
100% Corpus,4,0.01,0.61,0.3637549234237416
