Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.31,0.31,0.407604392252711
100% Corpus,9,0.31,0.61,0.44872421740864105
100% Corpus,9,0.31,0.9099999999999999,0.42458741058712657
100% Corpus,9,0.31,symmetric,0.43004186318223564
100% Corpus,9,0.61,0.01,0.44559678582410034
100% Corpus,9,0.61,0.31,0.4631273960618769
100% Corpus,9,0.61,0.61,0.4549885946391451
100% Corpus,9,0.61,0.9099999999999999,0.3934209565850964
100% Corpus,9,0.61,symmetric,0.4434534352994998
100% Corpus,9,0.9099999999999999,0.01,0.44886281592014055
100% Corpus,9,0.9099999999999999,0.31,0.4526478965716513
100% Corpus,9,0.9099999999999999,0.61,0.43193527646149643
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.41401601584031406
100% Corpus,9,0.9099999999999999,symmetric,0.4622754590929423
100% Corpus,9,symmetric,0.01,0.3991380649543028
100% Corpus,9,symmetric,0.31,0.40686550430072926
100% Corpus,9,symmetric,0.61,0.40828868946094415
100% Corpus,9,symmetric,0.9099999999999999,0.42954543871466705
100% Corpus,9,symmetric,symmetric,0.37675803980418227
100% Corpus,9,asymmetric,0.01,0.38875628317672817
100% Corpus,9,asymmetric,0.31,0.4066168342874419
100% Corpus,9,asymmetric,0.61,0.49177110152011394
100% Corpus,9,asymmetric,0.9099999999999999,0.43073110856402064
100% Corpus,9,asymmetric,symmetric,0.39917334520743086
100% Corpus,10,0.01,0.01,0.4055224865433463
100% Corpus,10,0.01,0.31,0.40817709807750735
100% Corpus,10,0.01,0.61,0.3961218192189518
100% Corpus,10,0.01,0.9099999999999999,0.4199742661986326
100% Corpus,10,0.01,symmetric,0.41487431609119485
100% Corpus,10,0.31,0.01,0.3750012849496158
100% Corpus,10,0.31,0.31,0.36509949140605624
100% Corpus,10,0.31,0.61,0.3529672370023946
100% Corpus,10,0.31,0.9099999999999999,0.3677786186029837
100% Corpus,10,0.31,symmetric,0.3634111275014694
100% Corpus,10,0.61,0.01,0.4384907943555435
100% Corpus,10,0.61,0.31,0.44983720045528247
100% Corpus,10,0.61,0.61,0.45290644912721223
100% Corpus,10,0.61,0.9099999999999999,0.4214321036875834
100% Corpus,10,0.61,symmetric,0.45668349774716405
100% Corpus,10,0.9099999999999999,0.01,0.41860788666474075
100% Corpus,10,0.9099999999999999,0.31,0.4078923409174888
100% Corpus,10,0.9099999999999999,0.61,0.3955810836959298
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.38125329222121157
100% Corpus,10,0.9099999999999999,symmetric,0.4493076033177017
100% Corpus,10,symmetric,0.01,0.39331687893015155
100% Corpus,10,symmetric,0.31,0.41990101298613985
100% Corpus,10,symmetric,0.61,0.4264138374555385
100% Corpus,10,symmetric,0.9099999999999999,0.38604760723988607
100% Corpus,10,symmetric,symmetric,0.37422942211729443
100% Corpus,10,asymmetric,0.01,0.4213385290842638
100% Corpus,10,asymmetric,0.31,0.40432427615628014
100% Corpus,10,asymmetric,0.61,0.4195948448307359
100% Corpus,10,asymmetric,0.9099999999999999,0.395911246853912
100% Corpus,10,asymmetric,symmetric,0.4086630167498092
